journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
The journal of ECT,63,17.44,13.0,1099,1999,2022,0.0
Psycho-oncology,63,32.52,25.0,2049,1992,2022,0.0
Psychoneuroendocrinology,63,43.03,28.0,2711,1990,2022,0.0
Journal of clinical nursing,63,19.21,14.0,1210,1996,2022,0.0
Journal of general internal medicine,63,61.43,40.0,3870,1989,2022,0.0
"Medicina (Kaunas, Lithuania)",62,43.39,10.5,2690,2002,2022,12.9
La Revue du praticien,62,1.55,1.0,96,1991,2022,41.94
Neurology,62,94.26,72.5,5844,1989,2022,0.0
Psychiatrike = Psychiatriki,62,6.19,3.0,384,2007,2022,19.35
Child and adolescent mental health,62,15.47,10.0,959,1998,2022,6.45
Archives of sexual behavior,62,27.66,18.0,1715,1990,2022,0.0
Archiwum medycyny sadowej i kryminologii,61,1.23,1.0,75,2002,2022,49.18
Archives of women's mental health,61,30.18,23.0,1841,2003,2022,3.28
"Vertex (Buenos Aires, Argentina)",61,0.84,0.0,51,2002,2022,60.66
Clinical psychology review,61,101.7,72.0,6204,1997,2022,0.0
Brain research,61,65.2,50.0,3977,1989,2016,0.0
Sante mentale au Quebec,61,1.3,1.0,79,1989,2022,45.9
Pharmacopsychiatry,61,35.49,17.0,2165,1989,2022,1.64
Journal of religion and health,61,21.0,8.0,1281,1995,2022,3.28
Archives of internal medicine,60,64.25,42.0,3855,1989,2008,6.67
Journal of the American Geriatrics Society,59,57.44,29.0,3389,1989,2022,3.39
"Presse medicale (Paris, France : 1983)",59,6.93,4.0,409,1990,2019,3.39
The Journal of biological chemistry,59,49.08,38.0,2896,1989,2022,0.0
Proceedings of the National Academy of Sciences of the United States of America,59,121.44,69.0,7165,1990,2022,0.0
Annals of emergency medicine,59,35.07,29.0,2069,1989,2021,1.69
Behavior therapy,59,38.07,18.0,2246,2005,2022,3.39
JMIR research protocols,58,23.09,9.5,1339,2007,2022,1.72
"Alcoholism, clinical and experimental research",57,36.28,27.0,2068,1992,2022,0.0
Clinical child psychology and psychiatry,57,15.54,10.0,886,1996,2022,5.26
Brain sciences,57,48.96,14.0,2791,2005,2022,3.51
Journal of abnormal child psychology,57,51.79,44.0,2952,1989,2020,0.0
The New Zealand medical journal,57,12.18,6.0,694,1989,2022,8.77
"International review of psychiatry (Abingdon, England)",56,30.98,15.5,1735,2005,2022,1.79
